metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.pubsub.subscription.sent_message_count,Sent message count,DELTA,INT64,1,pubsub_subscription,"Cumulative count of messages sent by Cloud Pub/Sub to subscriber clients, grouped by delivery type. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.streaming_pull_ack_message_operation_count,StreamingPull Acknowledge message operations,DELTA,INT64,1,pubsub_subscription,"Cumulative count of StreamingPull acknowledge message operations, grouped by result. For a definition of message operations, see Cloud Pub/Sub metric subscription/mod_ack_deadline_message_operation_count. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.streaming_pull_ack_request_count,StreamingPull Acknowledge requests,DELTA,INT64,1,pubsub_subscription,"Cumulative count of streaming pull requests with non-empty acknowledge ids, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.streaming_pull_message_operation_count,StreamingPull message operations,DELTA,INT64,1,pubsub_subscription,"Cumulative count of streaming pull message operations, grouped by result. For a definition of message operations, see Cloud Pub/Sub metric <code>subscription/mod_ack_deadline_message_operation_count</code>. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.streaming_pull_mod_ack_deadline_message_operation_count,StreamingPull ModifyAckDeadline message operations,DELTA,INT64,1,pubsub_subscription,"Cumulative count of StreamingPull ModifyAckDeadline operations, grouped by result. For a definition of message operations, see Cloud Pub/Sub metric subscription/mod_ack_deadline_message_operation_count. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.streaming_pull_mod_ack_deadline_request_count,StreamingPull ModifyAckDeadline requests,DELTA,INT64,1,pubsub_subscription,"Cumulative count of streaming pull requests with non-empty ModifyAckDeadline fields, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.streaming_pull_response_count,StreamingPull responses,DELTA,INT64,1,pubsub_subscription,"Cumulative count of streaming pull responses, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.unacked_bytes_by_region,Unacked bytes by region,GAUGE,INT64,By,pubsub_subscription,"Total byte size of the unacknowledged messages in a subscription, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.byte_cost,Topic byte cost,DELTA,INT64,By,pubsub_topic,"Cost of operations, measured in bytes. This is used to measure utilization for quotas. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.topic.config_updates_count,Topic updates,DELTA,INT64,1,pubsub_topic,"Cumulative count of configuration changes, grouped by operation type and result. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.topic.message_sizes,Publish message size,DELTA,DISTRIBUTION,By,pubsub_topic,"Distribution of publish message sizes (in bytes). Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.topic.num_retained_acked_messages_by_region,Retained acked messages by region,GAUGE,INT64,1,pubsub_topic,"Number of acknowledged messages retained in a topic, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.num_unacked_messages_by_region,Unacked messages by region,GAUGE,INT64,1,pubsub_topic,"Number of unacknowledged messages in a topic, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.oldest_retained_acked_message_age_by_region,Oldest retained acked message age by region,GAUGE,INT64,s,pubsub_topic,"Age (in seconds) of the oldest acknowledged message retained in a topic, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.oldest_unacked_message_age_by_region,Oldest unacked message age by region,GAUGE,INT64,s,pubsub_topic,"Age (in seconds) of the oldest unacknowledged message in a topic, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.retained_acked_bytes_by_region,Retained acked bytes by region,GAUGE,INT64,By,pubsub_topic,"Total byte size of the acknowledged messages retained in a topic, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.send_message_operation_count,Publish message operations,DELTA,INT64,1,pubsub_topic,"Cumulative count of publish message operations, grouped by result. For a definition of message operations, see Cloud Pub/Sub metric subscription/mod_ack_deadline_message_operation_count. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.topic.send_request_count,Publish requests,DELTA,INT64,1,pubsub_topic,"Cumulative count of publish requests, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.topic.unacked_bytes_by_region,Unacked bytes by region,GAUGE,INT64,By,pubsub_topic,"Total byte size of the unacknowledged messages in a topic, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
